value,EncryptionTime(ms),EncryptedSize(KB)
3,2.584,91.207
2,2.319,91.120
2,4.547,91.196
2,3.427,91.197
2,2.565,91.226
2,4.388,91.159
4,2.305,91.210
4,2.224,91.140
3,3.888,91.168
2,2.415,91.117
2,2.443,91.232
2,2.696,91.135
2,5.804,91.215
3,2.642,91.221
2,4.080,91.143
4,5.132,91.185
4,4.032,91.200
4,3.301,91.215
2,5.158,91.166
4,2.503,91.132
1,2.897,91.218
2,4.208,91.199
2,2.502,91.117
2,2.876,91.174
3,6.476,91.272
2,2.720,91.178
2,3.057,91.228
2,3.785,91.113
2,2.401,91.188
2,3.277,91.208
3,4.281,91.151
2,2.511,91.192
2,2.546,91.176
2,2.643,91.178
2,2.576,91.173
1,2.373,91.249
2,2.473,91.181
2,5.270,91.134
2,6.917,91.230
2,3.560,91.171
1,4.793,91.206
2,4.014,91.129
3,4.387,91.203
1,5.152,91.148
5,2.392,91.153
1,2.648,91.191
1,5.411,91.152
1,3.460,91.218
1,2.389,91.119
2,3.513,91.162
2,2.535,91.249
1,2.281,91.161
1,2.542,91.272
2,2.331,91.214
1,2.195,91.259
3,4.037,91.130
3,5.020,91.167
2,2.355,91.286
3,2.592,91.121
1,3.635,91.139
3,2.368,91.163
2,4.129,91.197
3,5.350,91.088
1,2.192,91.250
1,3.747,91.181
1,5.943,91.240
1,2.274,91.250
2,2.234,91.154
1,4.433,91.284
1,2.432,91.101
1,2.397,91.186
2,3.820,91.249
1,2.234,91.115
1,2.237,91.161
1,2.293,91.212
1,4.016,91.306
2,2.251,91.171
2,2.295,91.171
1,4.616,91.119
2,2.230,91.185
1,2.757,91.226
2,10.845,91.196
1,2.240,91.222
1,2.273,91.205
1,6.230,91.257
1,2.313,91.209
1,2.194,91.165
3,2.838,91.202
1,2.406,91.170
2,2.241,91.109
1,2.451,91.217
2,2.651,91.134
1,2.207,91.260
1,2.256,91.188
1,2.276,91.186
1,2.351,91.177
1,2.330,91.211
1,2.287,91.210
2,2.236,91.195
1,2.507,91.147
1,5.063,91.090
1,2.192,91.148
1,2.339,91.139
1,5.400,91.139
1,3.351,91.176
1,2.467,91.268
1,4.405,91.206
1,3.151,91.238
1,2.336,91.220
1,2.283,91.079
1,2.547,91.139
1,2.269,91.102
1,2.436,91.137
1,2.575,91.152
1,2.640,91.233
2,2.284,91.182
1,2.479,91.156
2,2.485,91.212
1,3.848,91.046
1,6.420,91.228
2,2.974,91.203
2,3.457,91.200
1,6.003,91.249
1,2.378,91.171
1,2.312,91.146
1,5.991,91.188
1,3.860,91.158
2,2.570,91.084
2,2.550,91.131
2,4.548,91.128
2,3.793,91.219
1,2.252,91.163
1,2.431,91.216
2,3.948,91.252
1,2.298,91.185
2,2.304,91.176
1,2.253,91.196
2,2.812,91.182
1,2.326,91.200
1,3.978,91.135
1,2.567,91.079
1,6.066,91.174
1,2.436,91.116
1,2.929,91.122
1,5.475,91.143
1,4.024,91.190
2,3.855,91.197
2,4.666,91.245
1,3.974,91.147
1,2.455,91.133
1,3.216,91.201
1,2.351,91.188
1,2.482,91.058
1,4.017,91.274
