value,EncryptionTime(ms),EncryptedSize(KB)
4,2.692,91.220
4,2.328,91.205
5,2.510,91.138
5,2.425,91.216
5,4.006,91.166
4,3.526,91.159
4,2.207,91.101
2,5.477,91.186
4,2.278,91.123
4,2.467,91.060
4,2.252,91.190
4,2.598,91.140
3,2.559,91.203
4,2.365,91.235
4,2.207,91.236
2,2.580,91.212
3,2.263,91.205
4,2.346,91.257
4,2.387,91.170
4,3.980,91.130
4,2.248,91.179
3,2.284,91.219
2,2.275,91.203
5,2.428,91.258
3,2.297,91.112
4,2.315,91.216
2,2.455,91.148
5,2.439,91.183
4,2.434,91.247
3,2.390,91.169
3,2.255,91.246
3,2.823,91.270
4,2.361,91.160
5,2.431,91.112
4,4.070,91.250
5,3.470,91.228
4,2.728,91.200
3,3.128,91.119
5,2.311,91.175
2,2.459,91.208
5,3.852,91.100
4,2.332,91.150
3,2.339,91.191
4,2.374,91.213
4,2.197,91.166
4,2.467,91.187
5,2.366,91.130
4,5.628,91.134
4,4.354,91.107
4,3.284,91.133
3,2.408,91.150
5,2.646,91.181
4,2.275,91.093
3,2.637,91.296
4,2.792,91.192
4,2.456,91.176
4,2.479,91.181
5,2.334,91.285
3,2.324,91.145
4,2.205,91.167
4,2.264,91.073
4,2.217,91.131
5,2.295,91.199
5,2.183,91.123
4,2.366,91.150
4,2.459,91.181
4,3.786,91.232
5,2.413,91.136
5,4.252,91.202
3,2.352,91.265
4,2.269,91.145
4,2.432,91.048
4,2.208,91.159
4,2.266,91.099
4,2.343,91.204
4,2.460,91.303
4,2.283,91.205
2,2.388,91.198
4,2.341,91.189
4,2.250,91.272
4,2.320,91.108
3,2.282,91.222
5,2.578,91.135
2,2.228,91.232
5,2.517,91.275
5,2.287,91.215
4,2.211,91.188
5,2.454,91.129
4,3.947,91.246
5,2.177,91.211
2,2.607,91.274
2,2.644,91.249
4,2.291,91.130
4,2.286,91.158
4,4.442,91.053
4,2.294,91.214
4,4.032,91.160
4,2.266,91.172
4,3.851,91.192
4,2.859,91.140
3,3.491,91.159
5,2.229,91.150
4,2.566,91.256
4,2.311,91.231
5,2.660,91.232
5,2.432,91.168
5,2.335,91.163
1,2.847,91.209
4,2.405,91.208
5,2.275,91.129
4,2.298,91.136
5,5.881,91.229
5,2.232,91.310
4,2.304,91.235
4,2.362,91.138
4,2.503,91.149
4,2.659,91.145
5,2.411,91.132
4,3.177,91.256
4,2.357,91.148
4,2.582,91.091
4,2.300,91.193
5,3.774,91.164
4,3.782,91.122
3,2.350,91.176
4,2.256,91.139
4,2.190,91.046
5,2.621,91.157
2,2.567,91.233
5,2.506,91.151
2,2.374,91.195
4,2.237,91.074
4,3.244,91.202
5,2.664,91.240
4,2.553,91.209
4,2.864,91.187
4,2.569,91.166
4,2.481,91.204
4,2.496,91.143
3,3.692,91.130
5,4.596,91.234
4,2.260,91.248
4,2.241,91.196
4,2.355,91.134
2,2.713,91.262
4,2.175,91.206
4,2.611,91.261
2,3.223,91.163
5,2.307,91.220
2,3.861,91.173
3,2.352,91.077
4,2.371,91.268
5,3.150,91.150
3,2.227,91.148
4,3.967,91.230
3,2.302,91.217
4,2.264,91.132
3,2.311,91.114
3,2.329,91.176
4,2.409,91.099
2,2.294,91.227
3,2.326,91.176
4,2.292,91.129
3,2.882,91.200
4,2.435,91.173
3,2.436,91.200
1,2.269,91.065
4,2.376,91.166
4,2.560,91.169
4,2.266,91.107
4,2.272,91.086
4,2.432,91.230
3,3.408,91.257
4,3.443,91.209
4,3.480,91.217
3,2.340,91.133
2,2.422,91.208
4,2.404,91.122
5,2.449,91.159
3,2.446,91.039
4,6.741,91.167
4,2.332,91.157
5,2.907,91.220
3,2.768,91.166
4,2.759,91.178
4,2.212,91.186
3,2.236,91.250
2,2.602,91.122
4,2.404,91.275
4,2.247,91.239
4,2.247,91.157
4,2.738,91.318
4,2.283,91.170
4,4.144,91.154
4,3.660,91.122
5,2.600,91.186
4,2.657,91.187
4,2.513,91.142
5,2.534,91.198
3,2.295,91.217
4,4.037,91.147
5,2.341,91.219
4,3.416,91.239
4,2.443,91.232
4,4.315,91.194
4,2.219,91.154
4,4.136,91.182
4,2.284,91.127
5,2.331,91.073
4,2.549,91.196
4,4.099,91.188
4,2.297,91.126
5,2.949,91.250
5,2.424,91.199
4,2.319,91.104
4,2.370,91.186
5,2.458,91.175
5,2.930,91.220
4,2.230,91.154
4,2.258,91.104
