QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
3,4.065,91.132,13,2.747,91.228,5,2.600,91.146,4,2.300,91.141,4,2.306,91.231
4,2.376,91.266,2,2.437,91.172,11,2.819,91.127,3,4.188,91.200,4,2.720,91.169
5,2.464,91.097,2,2.556,91.197,11,2.241,91.205,4,2.379,91.241,4,2.418,91.258
4,2.267,91.107,2,3.964,91.103,11,3.580,91.177,3,2.552,91.126,4,2.280,91.248
5,2.350,91.217,8,2.292,91.242,8,2.876,91.214,4,2.414,91.170,5,4.340,91.241
3,2.366,91.136,8,2.549,91.209,8,2.984,91.124,4,2.734,91.263,5,2.322,91.234
2,2.726,91.218,2,3.940,91.145,11,3.936,91.203,2,2.405,91.179,4,2.408,91.175
4,2.274,91.208,9,2.407,91.152,2,2.371,91.220,2,3.823,91.219,5,3.613,91.224
5,3.048,91.192,2,2.630,91.183,11,4.160,91.268,4,3.965,91.172,2,2.674,91.110
2,2.640,91.273,8,2.607,91.154,8,2.318,91.113,2,3.897,91.157,5,2.327,91.130
2,2.346,91.283,8,2.316,91.154,8,2.322,91.137,4,2.315,91.245,4,2.341,91.168
2,2.337,91.091,9,2.639,91.211,2,3.115,91.160,2,2.337,91.287,5,2.292,91.208
2,2.483,91.212,10,2.299,91.219,1,2.272,91.228,2,2.395,91.184,5,2.377,91.165
2,2.499,91.222,10,2.359,91.221,1,2.620,91.167,4,2.590,91.185,4,4.161,91.139
2,2.446,91.215,10,2.371,91.162,1,2.480,91.116,1,3.797,91.131,3,2.868,91.114
5,2.334,91.190,0,3.922,91.102,0,3.987,91.163,1,2.377,91.262,5,2.402,91.221
2,2.742,91.149,10,2.342,91.080,1,2.260,91.134,1,2.635,91.187,5,2.887,91.178
2,2.302,91.172,8,4.110,91.115,8,2.314,91.224,2,3.599,91.180,3,2.818,91.153
3,2.214,91.091,0,2.255,91.151,0,2.231,91.128,4,2.193,91.189,4,2.322,91.123
2,2.436,91.200,10,2.952,91.230,1,2.637,91.294,1,3.544,91.194,3,2.667,91.205
5,2.351,91.275,2,2.616,91.161,11,4.042,91.218,4,2.388,91.184,5,4.004,91.156
5,2.302,91.162,2,4.044,91.173,11,3.343,91.137,4,2.381,91.188,4,2.362,91.235
5,2.246,91.159,2,2.334,91.208,11,3.747,91.126,4,4.713,91.144,4,2.555,91.120
5,2.331,91.093,10,2.588,91.204,1,2.257,91.154,4,4.374,91.279,4,2.247,91.198
4,2.331,91.126,9,2.402,91.264,2,2.310,91.163,2,2.279,91.155,5,2.234,91.103
3,2.289,91.270,10,2.495,91.162,1,2.743,91.136,4,2.401,91.122,4,2.260,91.114
2,4.297,91.205,9,4.312,91.216,2,2.471,91.144,3,2.266,91.099,4,2.317,91.213
2,2.347,91.196,9,2.266,91.150,2,2.291,91.109,2,2.377,91.101,4,3.894,91.178
5,2.215,91.151,2,2.335,91.140,11,2.531,91.189,4,2.515,91.268,1,2.353,91.192
5,2.740,91.157,11,2.662,91.205,15,2.271,91.171,4,2.586,91.227,3,2.629,91.194
5,2.411,91.168,9,2.444,91.268,3,2.363,91.168,4,3.988,91.254,4,2.265,91.158
2,2.308,91.248,10,4.006,91.165,1,2.275,91.157,3,4.476,91.225,4,2.284,91.196
5,2.366,91.164,10,2.261,91.134,1,3.100,91.211,4,2.984,91.149,3,2.682,91.262
2,2.423,91.241,10,2.489,91.232,1,3.161,91.192,1,2.673,91.097,5,2.220,91.262
4,2.252,91.150,9,3.332,91.248,2,2.258,91.136,4,2.215,91.203,4,2.361,91.144
2,2.377,91.064,2,2.500,91.166,11,2.272,91.180,3,2.329,91.105,4,2.357,91.109
5,2.260,91.236,10,4.353,91.221,1,2.926,91.149,4,3.238,91.214,4,3.416,91.106
3,2.476,91.094,13,2.277,91.111,5,2.287,91.209,4,4.063,91.188,4,2.670,91.052
3,2.272,91.128,13,2.291,91.210,5,2.272,91.118,4,2.258,91.225,4,2.641,91.229
