provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash
https://devnet.zama.ai,39,26,156.18,44.22,23.53,0.86,5.12,0xbbd8ffd95a4a05d71e81d2c5a5b9f95e9123c7dcd3b16ef9a5d81ba79336c563
https://devnet.zama.ai,40,27,156.32,44.22,21.05,0.99,4.44,0x8eb3bee423475c0d4980d82d87370cbe6d96f4a88d335f6e78f9bfff4bf8ec6b
https://devnet.zama.ai,41,28,156.14,44.22,33.33,0.87,5.28,0x99f37642226311b1be7d1a1cc7faae48f40d24b29ddba123905975ab3e905c86
https://devnet.zama.ai,42,47,156.18,44.22,23.08,0.88,5.27,0x2f2f40228239fcd47d9dffca23e84b7db83e10d83c089ce0437581427034baf6
https://devnet.zama.ai,43,31,156.45,44.22,41.67,1.32,4.28,0x43c990364e8973711ff7e61f3dc58cf4441b3b07a9693038ad79ba3ddff9ee7f
https://devnet.zama.ai,44,31,156.18,44.22,20.83,0.87,5.26,0xe167c276dafe5778bcae6ac2b10d6a9aea9d9aada06bcc386fd3d36289dd88ba
https://devnet.zama.ai,45,45,156.23,44.22,25.00,0.87,4.94,0x2750166412e71b4de791838857dcab749473d5c513809f85dc09a576c582e820
https://devnet.zama.ai,46,31,156.21,44.22,19.05,0.88,4.89,0xc88193d0811fd884cc500033d21774ca8de178408f83a112eb25b8700f90454c
https://devnet.zama.ai,47,44,156.26,44.22,81.82,0.89,5.18,0x1eafeda96e848ab01b444d27edd046c444757a6aa71be107e4d67a612eab6cd5
https://devnet.zama.ai,48,58,156.12,44.22,45.45,1.43,5.26,0x1f6d7a164dc7763e14c9f73a3d31f667ff7c9f69a82f5b614c61730bf6ec4f23
https://devnet.zama.ai,49,22,156.31,44.22,20.00,0.87,4.16,0x5ff378444aa4dcd3be07efa3a76904e1aad8411dae02ed33047bfd18b4bb95a3
https://devnet.zama.ai,50,28,156.13,44.22,18.18,0.87,5.16,0x011b18627a34648386a35aeb14e2a931be1f2df5f2bdff529d3f70a52fae6c9d
